Wednesday lunch	Saigon Street Corner Dining (at noon).jpg	#590a0d	#47080A	"<a href=""http://www.flickr.com/photos/76345376@N00/119175704/"">Saigon Street Corner Dining</a>"	"<a href=""https://creativecommons.org/licenses/by/2.0/deed.sv"" rel=""license"">CC&nbsp;BY&nbsp;2.0</a>"
	Wrap				
		Chicken			
		Feta cheese			
	Wrap				
		Taco	 		
		Tomato salsa			
		Mango			
		Avocado			
		Coriander			
	Wrap				
		Roasted cauliflower	Curry		
		White bean creme			
		Seeds			
	Side salad				
		Broccoli	Roasted		
		Sundried tomato			
	Side salad				
		Red cabbage slaw			
	Fruit basket				
	Organic buiscits				
Wednesday afternoon snack	A REFRESHMENT STAND ON THE BOARDWALK OF ISLE OF PALMS, THE POPULAR OCEAN RESORT - NARA - 546979.jpg	#c39675	#9C785E	"<a href=""https://en.wikipedia.org/wiki/U.S._National_Archives_and_Records_Administration"">U.S. National Archives and Records Administration</a>"	Public domain
	Cinnamon bun				
	Cardamom bun				
Thursday lunch	Red Marcato Atlas 150 Color pasta machine.jpg	#cf2e00	#912000	"<a href=""https://commons.wikimedia.org/w/index.php?title=User:Mudflattop&action=edit&redlink=1"">Paxson Woelber</a>"	"<a href=""https://creativecommons.org/licenses/by-sa/4.0/deed.sv"" rel=""license"">CC&nbsp;BY-SA 4.0</a>"
	Wrap				
		Smoked turkey			
		Sweet chili creme			
		Paprika			
	Wrap				
		Fried mushrooms	marinated	Soy	Garlic
		Grilled zucchini			
		Artichokecrème			
	Wrap				
		Roasted cauliflower	Curry		
		White bean creme			
		Seeds			
	Side salad				
		Lentil salad			
		Tomato			
		Garlic			
		Oil	Herbs		
	Side salad				
		Glass noodle salad	Sweet chili	Coriander	Marinated
	Fruit basket				
	Organic buiscits				
Thursday afternoon snack	A REFRESHMENT STAND ON THE BOARDWALK OF ISLE OF PALMS, THE POPULAR OCEAN RESORT - NARA - 546979.jpg	#c39675	#9C785E	"<a href=""https://en.wikipedia.org/wiki/U.S._National_Archives_and_Records_Administration"">U.S. National Archives and Records Administration</a>"	Public domain
	Cinnamon bun				
	Cardamom bun				
Friday lunch	Dabbawala.jpg	#9b3f30	#7C3226	"<a href=""https://commons.wikimedia.org/w/index.php?title=User:Mohanad5ayman&action=edit&redlink=1"">Mohanad5ayman</a>"	"<a href=""https://creativecommons.org/licenses/by/2.0/deed.sv"" rel=""license"">CC&nbsp;BY&nbsp;2.0</a>"
	Sourdough baguette				
		Chicken fillet	Swedish		
		Sriracha mayonnaise			
		Pickled onions			
	Sourdough baguette				
		Artichokecrème			
		Lemon			
	Sourdough baguette				
		Feta cheese			
		Olivecreme			
	Side salad				
		Lentil salad			
		Tomato			
		Garlic			
		Oil	Herbs		
	Side salad				
		Bean salad			
		Sambal			
		Leek			
	Fruit basket				
	Cookie	Vegan			
		Raspberry			
		Coconut			
Friday afternoon snack	Fruit and vegetables basket.jpg	#e5a637	#FF9933	Unknown	Public domain
	Swedish punch-roll				
	Rawball				
		Bilberry			
		Cardamom			
	Rawball				
		Apple			
		Cinnamon			
Saturday Lunch	Spitz-Baguette crude.JPG	#ceb25f	#A58E4C	"<a href=""https://commons.wikimedia.org/wiki/User:RudolfSimon"">RudolfSimon</a>"	"<a href=""https://creativecommons.org/licenses/by-sa/3.0/deed.sv"" rel=""license"">CC&nbsp;BY-SA&nbsp;3.0</a>"
	Sourdough baguette				
		Turkey			
		Cream cheese			
	Sourdough baguette				
		Brie cheese			
		Fig jam			
	Sourdough baguette				
		Parsley			
		Artichoke	Marinated		
		Ajvar			
	Side salad				
		Lentil salad			
		Tomato			
		Garlic			
		Oil	Herbs		
	Side salad				
		Tabbouleh			
	Fruit basket				
	Organic buiscits				
Saturday afternoon snack	Street Dining Lesehan in Kebayoran Baru, Jakarta.jpg	#85271b	#6A1F16	"<a href=""https://www.flickr.com/people/21558311@N04"">tania_huiny</a>"	"<a href=""https://creativecommons.org/licenses/by/2.0/deed.sv"" rel=""license"">CC&nbsp;BY&nbsp;2.0</a>"
	Cookie	Vegan			
		Raspberry			
		Coconut			
	Cookie				
		Chocolate			
	Swedish punch-roll				
	Rawball				
		Bilberry			
Sunday lunch	Harbour Skyline Boston MA USA.jpg	#3c71a7	#305A86	"<a href=""https://commons.wikimedia.org/wiki/User:Grossbildjaeger"">Grossbildjaeger</a>"	"<a href=""https://creativecommons.org/licenses/by-sa/3.0/deed.sv"" rel=""license"">CC&nbsp;BY-SA&nbsp;3.0</a>"
	Sourdough baguette				
		Pulled chicken			
		Avocado salsa	Lactose free		
	Sourdough baguette				
		Hummus	Paprika from la Vera		
		Roasted cauliflower			
		Seeds			
	Sourdough baguette				
		Mozzarella			
		Tapenade			
		Basil			
	Side salad				
		Sweet chili			
		Coriander			
	Side salad				
		Broccoli	Roasted		
		Sundried tomato			
	Organic buiscits				
Sunday afternoon snack	Farm Kartoffelfeld Schweden.jpg	#ca4337	#A2362C	"<a href=""http://flickr.com/people/48876243@N08"">BASFPlantScience</a>"	"<a href=""https://creativecommons.org/licenses/by/2.0/deed.sv"" rel=""license"">CC&nbsp;BY&nbsp;2.0</a>"
	Swedish punch-roll				
	Rawball				
		Bilberry			
		Cardamom			
	Rawball				
		Apple			
		Cinnamon			
Saturday reception	Landsort February 2014 35.jpg	#fab73a	#E1A534	"<a href=""https://commons.wikimedia.org/wiki/User:ArildV"">Arild Vågen</a>"	"<a href=""https://creativecommons.org/licenses/by-sa/3.0/deed.sv"" rel=""license"">CC&nbsp;BY-SA&nbsp;3.0</a>"
	Dessert				
	Seed Cracker				
		Chevrecreme			
		Cloudberry Jam			
	Slider				
		Pulled chicken			
		Avocado			
		Pickled onions			
	Seed Cracker				
		Hummus	Paprika from la Vera		
	Rye bread				
		Cauliflower creme			
		Browned brussel sprouts			
		Cress			
	Chocolate mousse				
		Raspberry			
